Timestamp, CPU_Usage, GPU_Usage, RAM_Usage, Power_Consumption
57:02.0,18,0,29.3,3.546
57:03.0,2.8,0,29.3,3.261
57:04.0,8.5,0,29.3,3.302
57:05.0,4.6,0,29.3,3.22
57:06.0,8.4,8.4,29.3,3.302
57:07.0,7,0,29.3,3.302
57:08.0,8,0,29.3,3.261
57:09.0,7.2,0,29.3,3.628
57:10.0,10.7,38.6,29.4,3.465
57:11.0,5.9,0,29.4,3.261
57:12.0,4.5,0,29.4,3.22
57:13.0,1.7,0,29.4,3.179
57:14.0,11.2,71,29.4,3.791
57:15.0,6.7,10.7,29.4,3.506
57:16.0,14.7,0,29.4,3.546
57:17.0,29,0,29.7,3.546
57:18.0,3.7,0,29.7,3.424
57:19.0,4.2,0,29.6,3.342
57:20.0,3.2,0,29.6,3.302
57:21.0,5.7,0,29.7,3.424
57:22.0,2.8,0,29.7,3.302
57:23.0,4.7,0,29.7,3.302
57:24.0,18.5,7.2,33.1,4.036
57:25.0,20.3,0,36.7,3.995
57:26.0,20.9,5.6,40,4.036
57:27.0,20.7,7.8,43.8,3.995
57:28.0,17.4,0,45.9,3.872
57:29.0,3.7,0,45.9,3.383
57:30.0,3.7,39.6,46,3.342
57:31.0,3.5,0,46.1,3.342
57:32.0,17.3,0,47,3.995
57:33.0,22.7,0,47.5,4.036
57:34.0,43.7,0,47.8,5.014
57:35.0,42.2,0,48.3,5.096
57:36.0,43.2,0,48.3,5.136
57:37.0,43.1,0,48.3,5.136
57:38.0,42.8,0,48.3,5.136
57:39.0,44,0,48.4,5.177
57:40.0,53.1,0,49.5,5.503
57:41.0,56.7,18.1,50.7,6.155
57:42.0,74,0,51.4,6.441
57:43.0,97.3,0,51.7,6.482
57:44.0,94.8,0,52.2,6.482
57:45.0,95.8,7.2,52.4,7.268
57:46.0,95.7,0,52.7,7.431
57:47.0,96.6,0,52.1,7.431
57:48.0,96,61.9,52.5,7.349
57:49.0,98.3,6.6,52.7,6.941
57:50.0,98.3,0,52.3,6.971
57:52.0,98.2,0,53,6.971
57:53.0,96.5,1.8,53,6.982
57:54.0,98.5,0,52.5,7.104
57:55.0,96.2,8.8,52.7,6.982
57:56.0,96.5,0,52.7,6.737
57:57.0,99,0,52.7,6.655
57:58.0,97.8,26.5,53.1,6.9
57:59.0,98.3,35.9,53,7.186
58:00.0,99.7,42,53.2,7.145
58:01.0,98.2,0,53.5,6.778
58:02.0,98.8,35.5,53,6.859
58:03.0,95.3,8.3,53,6.726
58:04.0,97.5,4.5,53.3,6.614
58:05.0,96.7,0,53.1,6.614
58:06.0,96.5,0,52.8,6.655
58:07.0,98.2,0,52.8,6.614
58:08.0,95.7,0,52.8,6.614
58:09.0,97.7,17.2,53.4,6.522
58:10.0,97.5,0,53,6.614
58:11.0,95.5,0,53.4,6.563
58:12.0,96.1,0,53.3,6.614
58:13.0,97,0,53,6.614
58:14.0,97.5,0,52.9,6.573
58:15.0,99.2,14.4,53.1,7.023
58:16.0,97.3,0,53.4,7.39
58:17.0,96,3,52.9,7.227
58:18.0,95.8,0,53.2,7.227
58:19.0,93.7,0,53.6,7.472
58:20.0,97.3,0,53,7.513
58:21.0,98,0,53.5,6.982
58:22.0,93.4,0,53.6,7.39
58:23.0,98.7,0,53.5,7.227
58:24.0,98.7,0,53.6,6.818
58:25.0,97,0,53.9,6.818
58:26.0,97.7,0,53.2,6.737
58:27.0,96.3,19.2,53.5,6.696
58:28.0,96,0,53.1,6.573
58:29.0,97.2,0,53.1,6.655
58:30.0,95.5,0,53.3,6.614
58:31.0,83.6,0,53.6,6.41
58:32.0,91.3,0,53.2,6.563
58:33.0,96,0,53.6,6.614
58:34.0,91.2,0,53.5,6.655
58:35.0,91,0,53.3,6.533
58:36.0,93,0,53.6,6.573
58:37.0,98,0,53.4,6.696
58:38.0,87.1,0,53.5,6.369
58:39.0,91.3,85.5,53.1,7.308
58:40.0,97.2,0,53.7,7.104
58:41.0,96.5,0,53.3,7.349
58:42.0,98.3,4,53.8,7.349
58:43.0,97.8,0,53.5,7.186
58:44.0,95.8,0,53.3,7.268
58:45.0,99.5,70.2,53.9,7.268
58:46.0,94.7,0,53.6,7.268
58:47.0,94.6,0,53.9,7.227
58:48.0,96.6,1.6,53.9,6.859
58:49.0,99,0,53.9,6.737
58:50.0,98.2,0,53.5,6.737
58:51.0,99,0,53.6,6.778
58:52.0,94.5,0,54,6.655
58:53.0,98.7,0,54,6.737
58:54.0,86.7,0,53.7,6.655
58:55.0,93.1,0,53.8,6.573
58:56.0,92.7,0,54,6.737
58:57.0,94.8,0,53.5,6.573
58:58.0,99,22.5,54,6.696
58:59.0,96.5,0,53.5,6.655
59:00.0,92.6,0,54,6.655
59:01.0,94.3,0,54,6.533
59:02.0,96.2,34.1,53.7,6.614
59:03.0,94.7,0,54.1,6.696
59:04.0,93,0,53.8,6.655
59:05.0,95.5,0,53.5,6.655
59:06.0,97,0,53.9,6.573
59:07.0,96.3,0,54,6.696
59:08.0,94.5,0,53.5,6.614
59:09.0,99.3,32.4,53.7,6.778
59:10.0,95.2,0,53.5,6.737
59:11.0,97.3,0,54.1,6.614
59:12.0,96.5,0,53.8,6.655
59:13.0,95.8,0,53.5,6.573
59:14.0,96.6,20.4,53.6,6.696
59:15.0,97.3,93.8,53.7,6.737
59:16.0,94.3,0,53.5,6.655
59:17.0,93,0,54.1,6.818
59:18.0,96,0,53.8,6.614
59:19.0,94.1,0,53.9,6.655
59:20.0,94.5,0,53.7,6.533
59:21.0,95.4,0,53.8,6.614
59:22.0,95.3,0,54.1,6.655
59:23.0,95.5,0,54,6.614
59:24.0,96,0,53.8,6.655
59:25.0,93.3,0,54.1,6.533
59:26.0,91.5,0,53.7,6.696
59:27.0,93.2,0,53.5,6.655
59:28.0,95.9,8.4,53.6,6.655
59:29.0,93.5,0,54.2,6.696
59:30.0,97,0,53.7,6.614
