Timestamp,RTT (ms)
56:58.9,1.8535
56:59.9,2.7648
57:00.9,2.5614
57:01.9,5.1945
57:02.9,2.6824
57:03.9,2.6261
57:04.9,4.276
57:05.9,2.418
57:06.9,2.6182
57:07.9,3.041
57:08.9,2.7343
57:09.9,4.3529
57:10.9,2.7189
57:11.9,3.1159
57:12.9,4.589
57:13.9,3.1622
57:15.0,2.4715
57:16.0,2.0132
57:17.0,2.6742
57:18.0,7.0734
57:19.0,5.7328
57:20.0,3.3547
57:21.0,2.4184
57:22.0,2.2656
57:23.0,1.8032
57:24.0,10.7433
57:25.0,2.7275
57:26.0,2.6795
57:27.0,5.006
57:28.0,2.6393
57:29.0,2.5399
57:30.0,4.8254
57:31.0,1.7196
57:32.0,4.64
57:33.1,2.3107
57:34.1,2.253
57:35.1,2.7302
57:36.1,3.4773
57:37.1,2.6575
57:38.1,3.3264
57:39.1,2.3036
57:40.1,7.0844
57:41.1,4.4788
57:42.1,4.0084
57:43.1,2.9837
57:44.1,7.292
57:45.1,2.8553
57:46.1,2.6266
57:47.1,2.3086
57:48.2,3.121
57:49.2,2.4751
57:50.2,4.0913
57:51.2,6.9245
57:52.2,5.4212
57:53.2,2.149
57:54.2,2.9575
57:55.2,3.6162
57:56.5,288.6811
57:57.3,12.5248
57:58.3,3.7989
57:59.3,2.7577
58:00.3,2.3475
58:01.3,3.113
58:02.3,3.0168
58:03.3,3.6602
58:04.3,2.8332
58:05.4,2.8822
58:06.4,2.3404
58:07.4,10.5344
58:08.4,2.6963
58:09.4,3.9891
58:10.4,2.3609
58:11.4,2.3146
58:12.4,3.1026
58:13.4,2.5981
58:14.4,2.3249
58:15.4,3.1707
58:16.4,5.2185
58:17.4,3.0696
58:18.4,3.2503
58:19.4,3.2851
58:20.4,2.4253
58:21.5,2.8005
58:22.5,5.1707
58:23.6,7.9575
58:24.6,2.0793
58:25.6,1.7576
58:26.6,3.4597
58:27.6,2.1908
58:28.6,5.9473
58:29.6,3.2391
58:30.6,2.4702
58:31.6,2.4732
58:32.6,2.3937
58:33.6,2.4756
58:34.6,2.3565
58:35.6,2.258
58:36.7,2.0417
58:37.7,6.4751
58:38.7,6.0818
58:39.7,3.1139
58:40.7,5.3063
58:41.7,1.7712
58:42.7,1.9028
58:43.7,2.895
58:44.7,3.5324
58:45.7,4.1803
58:46.7,4.9572
58:47.7,2.0245
58:48.7,2.8406
58:49.8,9.4874
58:50.8,3.5709
58:51.8,5.336
58:52.8,1.6539
58:53.8,4.9881
58:54.8,5.2001
58:55.8,2.2258
58:56.8,3.2075
58:57.8,4.5857
58:58.8,2.3653
58:59.8,2.6388
59:00.9,5.1857
59:01.9,2.5307
59:02.9,4.7507
59:03.9,5.3363
59:04.9,7.4827
59:05.9,2.589
59:06.9,4.0842
59:07.9,2.0992
59:08.9,6.3367
59:09.9,5.4145
59:10.9,2.9409
59:11.9,2.0916
59:12.9,2.6715
59:13.9,2.6244
59:14.9,2.5129
59:15.9,5.5651
59:16.9,2.6847
59:18.0,2.8987
59:19.0,2.4415
59:20.0,2.2504
59:21.0,60.0134
59:22.0,9.7977
59:23.1,21.4734
59:24.3,13.5838
59:25.3,26.0994
59:26.3,6.4395
59:27.3,2.3753
59:28.3,2.7053
59:29.3,5.306
59:30.3,2.528
59:31.3,5.1256
59:32.3,2.5373
59:33.3,2.2357
59:34.6,4.237
59:35.4,2.2801
59:36.4,2.8639
59:37.4,1.7256
59:38.4,3.3271
