Timestamp, CPU_Usage, GPU_Usage, RAM_Usage, Power_Consumption
4/23/2025 14:33,53.1,0,46.5,5.349
4/23/2025 14:33,45.9,18.8,45.8,5.39
4/23/2025 14:33,54.8,62.4,46.4,6.131
4/23/2025 14:33,52.9,0,45.8,5.761
4/23/2025 14:33,42.8,4.6,46.2,5.144
4/23/2025 14:33,41.8,0,46.3,5.061
4/23/2025 14:33,42.4,0,45.7,5.102
4/23/2025 14:33,42.4,34.5,45.9,5.061
4/23/2025 14:33,49.9,33.9,46.2,5.432
4/23/2025 14:33,46.6,28.5,45.7,5.308
4/23/2025 14:33,51.4,12.6,45.8,5.637
4/23/2025 14:33,48.6,21.2,46.1,5.555
4/23/2025 14:33,44.8,0,45.7,5.267
4/23/2025 14:33,44.8,0,45.7,5.185
4/23/2025 14:33,41.8,0,46.3,5.102
4/23/2025 14:33,42,0,45.7,5.061
4/23/2025 14:33,42.6,0,46.1,5.102
4/23/2025 14:33,44.4,0,45.9,5.102
4/23/2025 14:33,50.9,0,47.4,5.39
4/23/2025 14:33,57.6,0,48.3,6.09
4/23/2025 14:33,74,0,49.1,6.09
4/23/2025 14:34,95.5,0,50.1,6.255
4/23/2025 14:34,97,0,50.6,6.625
4/23/2025 14:34,82.6,0,50.1,6.954
4/23/2025 14:34,92,0,50.2,7.16
4/23/2025 14:34,98,0,50.5,7.407
4/23/2025 14:34,98.7,0,50.3,7.407
4/23/2025 14:34,96.8,0,50.5,7.119
4/23/2025 14:34,96.8,70,50.6,7.119
4/23/2025 14:34,97.7,37.8,50.6,7.242
4/23/2025 14:34,98.3,29.1,51.1,7.654
4/23/2025 14:34,98.7,10.6,50.6,7.613
4/23/2025 14:34,98.3,0,50.5,7.201
4/23/2025 14:34,98.7,0,51.2,7.407
4/23/2025 14:34,94.5,0,50.6,6.872
4/23/2025 14:34,99,23.4,51.2,7.283
4/23/2025 14:34,95.7,0,50.9,7.201
4/23/2025 14:34,97.7,0,51.2,7.201
4/23/2025 14:34,96.3,6.9,50.9,6.995
4/23/2025 14:34,96.3,0,51.3,6.79
4/23/2025 14:34,96.6,0,50.9,6.954
4/23/2025 14:34,99.3,7.1,51.5,6.543
4/23/2025 14:34,99.8,7.7,51.5,6.543
4/23/2025 14:34,98.2,0,52.2,6.707
4/23/2025 14:34,96.8,0,50.9,6.584
4/23/2025 14:34,98,0,51.4,6.666
4/23/2025 14:34,98.3,0,51.2,6.584
4/23/2025 14:34,94.5,0,51.4,6.625
4/23/2025 14:34,83.7,0,51.3,6.296
4/23/2025 14:34,92.7,0,51.5,6.46
4/23/2025 14:34,92.7,0,51.5,6.543
4/23/2025 14:34,94.2,0,51.5,6.502
4/23/2025 14:34,92,0,51,6.502
4/23/2025 14:34,90.8,0,51.5,6.46
4/23/2025 14:34,92.1,0,51.4,6.46
4/23/2025 14:34,89.1,0,50.9,6.46
4/23/2025 14:34,90.6,0,51.4,6.419
4/23/2025 14:34,89.7,0,51.5,6.46
4/23/2025 14:34,91.9,0,51.5,6.419
4/23/2025 14:34,95.8,0,51.5,6.543
4/23/2025 14:34,89.9,74.2,51.6,7.078
4/23/2025 14:34,86.1,0,51.6,6.748
4/23/2025 14:34,98.3,0,51,7.283
4/23/2025 14:34,96.5,18.7,51.4,7.325
